Id,SalePrice
1461,131484
1462,173755
1463,142390
1464,171387
1465,249469
1466,162178
1467,183580
1468,162424
1469,222752
1470,111622
1471,224027
1472,128501
1473,102629
1474,166976
1475,177335
1476,317191
1477,286704
1478,320862
1479,296716
1480,380173
1481,291317
1482,253643
1483,191199
1484,211414
1485,185116
1486,195779
1487,293991
1488,289648
1489,220865
1490,201023
1491,196149
1492,128144
1493,197212
1494,268670
1495,275488
1496,230932
1497,199074
1498,184007
1499,184007
1500,154622
1501,161813
1502,180734
1503,282563
1504,235594
1505,233266
1506,220015
1507,194336
1508,194337
1509,168217
1510,158433
1511,157564
1512,173569
1513,174820
1514,142892
1515,182769
1516,173267
1517,162742
1518,179865
1519,233207
1520,134575
1521,137955
1522,200575
1523,87908
1524,128185
1525,125586
1526,125453
1527,115433
1528,146245
1529,155319
1530,195138
1531,98700
1532,101588
1533,165871
1534,145874
1535,126920
1536,129760
1537,54336
1538,211149
1539,235676
1540,107991
1541,170370
1542,129455
1543,193745
1544,82927
1545,134453
1546,166364
1547,121661
1548,145124
1549,125675
1550,142343
1551,160278
1552,113045
1553,122837
1554,135852
1555,160495
1556,109302
1557,115982
1558,133823
1559,69570
1560,141049
1561,118931
1562,123685
1563,119364
1564,167495
1565,131495
1566,234227
1567,101840
1568,182576
1569,74119
1570,158965
1571,99032
1572,137457
1573,233533
1574,161604
1575,228583
1576,215898
1577,219634
1578,164821
1579,145443
1580,199839
1581,128474
1582,139726
1583,308913
1584,210442
1585,166139
1586,39946
1587,119302
1588,138001
1589,105264
1590,161445
1591,73455
1592,139052
1593,166060
1594,57540
1595,99397
1596,201514
1597,150634
1598,193350
1599,238161
1600,245418
1601,11671
1602,148523
1603,93292
1604,268354
1605,257375
1606,189654
1607,236000
1608,241956
1609,216973
1610,126346
1611,158543
1612,171924
1613,168903
1614,122950
1615,51864
1616,51864
1617,73536
1618,121460
1619,137743
1620,160574
1621,128756
1622,119246
1623,274624
1624,186622
1625,154930
1626,199250
1627,172378
1628,253178
1629,193358
1630,311676
1631,258783
1632,271823
1633,185299
1634,172035
1635,158526
1636,184098
1637,147542
1638,210020
1639,207513
1640,225840
1641,205224
1642,206959
1643,239828
1644,234800
1645,178437
1646,182666
1647,215334
1648,155414
1649,130299
1650,111887
1651,111887
1652,128501
1653,129068
1654,164317
1655,206817
1656,166976
1657,164317
1658,166976
1659,178208
1660,153304
1661,326210
1662,306660
1663,341575
1664,401351
1665,325300
1666,300628
1667,279443
1668,327811
1669,311106
1670,329006
1671,246935
1672,363868
1673,260263
1674,289908
1675,194248
1676,194842
1677,223532
1678,396827
1679,316594
1680,313731
1681,288749
1682,291522
1683,225942
1684,188557
1685,160106
1686,214381
1687,185116
1688,196945
1689,195750
1690,192560
1691,187063
1692,246581
1693,185116
1694,163699
1695,186304
1696,235043
1697,186540
1698,281129
1699,312031
1700,213413
1701,248316
1702,297088
1703,288745
1704,294378
1705,256940
1706,363300
1707,228763
1708,229257
1709,318099
1710,261671
1711,251444
1712,278725
1713,259640
1714,236258
1715,198558
1716,218504
1717,212316
1718,142550
1719,197642
1720,284492
1721,213080
1722,110871
1723,154310
1724,250528
1725,202196
1726,167694
1727,194261
1728,192393
1729,159103
1730,164640
1731,143166
1732,144956
1733,123142
1734,127738
1735,122339
1736,121206
1737,311121
1738,204603
1739,244685
1740,215258
1741,191245
1742,161813
1743,190239
1744,274272
1745,244877
1746,247036
1747,220230
1748,186194
1749,163539
1750,168428
1751,217179
1752,120119
1753,174775
1754,213898
1755,191423
1756,109201
1757,120025
1758,153276
1759,177809
1760,165491
1761,162271
1762,137586
1763,198265
1764,125551
1765,213035
1766,200288
1767,206454
1768,134421
1769,221105
1770,155617
1771,137558
1772,148031
1773,107832
1774,191615
1775,159476
1776,145910
1777,114716
1778,126892
1779,130177
1780,191558
1781,136084
1782,58870
1783,134868
1784,78426
1785,129846
1786,134170
1787,199980
1788,-6435
1789,138754
1790,53099
1791,213419
1792,177643
1793,177569
1794,172927
1795,161978
1796,153395
1797,173522
1798,128925
1799,111535
1800,127980
1801,90766
1802,178581
1803,172519
1804,145005
1805,157810
1806,146307
1807,170339
1808,128856
1809,89359
1810,135094
1811,74529
1812,94547
1813,115018
1814,104930
1815,11057
1816,113668
1817,111716
1818,160185
1819,137817
1820,63538
1821,155510
1822,182218
1823,28650
1824,171721
1825,119007
1826,113681
1827,125379
1828,124909
1829,211234
1830,180253
1831,190380
1832,108913
1833,158966
1834,141438
1835,163074
1836,168936
1837,69482
1838,142971
1839,78413
